scenario,backend,precision,enable_prefix_caching,setup_latency_ms,input_tokens,p50_latency_ms,p95_latency_ms,avg_latency_ms,avg_output_tokens,avg_tokens_per_sec,peak_vram_mb,avg_gpu_utilization,warmup_runs,benchmark_runs,max_new_tokens
baseline,transformers,float32,false,8269.032379,146,8598.225928,8691.400259,8601.017254,143,16.625940,11969.0,96.85,3,10,256
optimized,vllm,float16,true,34928.105406,146,2494.244624,2923.453698,2547.369773,73,28.657010,12163.0,100.0,3,10,256
